date,floor_eth,floor_usd,eth_usd,floor_punk_index,active_asks,source
2017-06-23,0.3,93.02,310.05462840596994,4971,21,onchain-orderbook
2017-06-24,0.135,41.86,310.05462840596994,9439,226,onchain-orderbook
2017-06-25,0.14,40.33,288.04702626534885,1054,314,onchain-orderbook
2017-06-26,0.2,51.78,258.91946273454556,2801,338,onchain-orderbook
2017-06-27,0.15,42.12,280.8130146788337,1143,343,onchain-orderbook
2017-06-28,0.15,47.59,317.2936774724324,1143,367,onchain-orderbook
2017-06-29,0.14,42.03,300.18215256198584,4827,415,onchain-orderbook
2017-06-30,0.19,54.09,284.69108328848546,5624,419,onchain-orderbook
2017-07-01,0.2,52.5,262.47807335859795,9571,416,onchain-orderbook
2017-07-02,0.22,62.95,286.1336070099866,7442,410,onchain-orderbook
2017-07-03,0.235,65.47,278.5971953381099,6130,422,onchain-orderbook
2017-07-04,0.235,63.39,269.7366305781692,2694,420,onchain-orderbook
2017-07-05,0.235,62.5,265.9369454655199,2280,416,onchain-orderbook
2017-07-06,0.24,64.19,267.4697236476019,1401,461,onchain-orderbook
2017-07-07,0.3,72.44,241.4766205298395,3665,501,onchain-orderbook
2017-07-08,0.3,73.86,246.21497097327446,2280,494,onchain-orderbook
2017-07-09,0.325,77.6,238.75431849081662,4205,516,onchain-orderbook
2017-07-10,0.325,68.42,210.52819727984127,4205,504,onchain-orderbook
2017-07-11,0.35,68.02,194.33493649003975,4164,689,onchain-orderbook
2017-07-12,0.3758,83.48,222.13885617231483,1581,749,onchain-orderbook
2017-07-13,0.37,76.37,206.41325042813503,1437,716,onchain-orderbook
2017-07-14,0.37,73.25,197.96945236247697,1437,749,onchain-orderbook
2017-07-15,0.37,63.56,171.77744094493255,1437,747,onchain-orderbook
2017-07-16,0.37,57.89,156.46899162898947,5910,749,onchain-orderbook
2017-07-17,0.37,69.69,188.3527773486568,5910,764,onchain-orderbook
2017-07-18,0.35,79.98,228.50328003667275,3886,720,onchain-orderbook
2017-07-19,0.3,59.88,199.59051553264698,2606,752,onchain-orderbook
2017-07-20,0.3,67.04,223.4613483872583,2606,748,onchain-orderbook
2017-07-21,0.3,65.13,217.08647395834424,2216,739,onchain-orderbook
2017-07-22,0.29,67.03,231.14352894295098,6692,746,onchain-orderbook
2017-07-23,0.29,65.75,226.7185992848529,6692,747,onchain-orderbook
